id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;Orbrix;1512.0;-3920.0;-8092.0;-1872.0;-4328.0;-1729.0;0
1;Jefferson;Orbrix;-2272.0;-2832.0;-12300.0;-1888.0;-7115.0;-309.0;103
2;Jefferson;Orbrix;-140.0;-1852.0;-16136.0;-1904.0;-4471.0;-127.0;207
3;Jefferson;Orbrix;116.0;-1284.0;-16136.0;-1888.0;-2223.0;-111.0;310
4;Jefferson;Orbrix;3412.0;-372.0;-16828.0;-1888.0;122.0;462.0;412
5;Jefferson;Orbrix;5288.0;-216.0;-17816.0;-1856.0;1964.0;560.0;516
6;Jefferson;Orbrix;5980.0;-596.0;-15812.0;-1888.0;4119.0;205.0;619
7;Jefferson;Orbrix;5728.0;-1088.0;-14880.0;-1888.0;6141.0;1399.0;723
8;Jefferson;Orbrix;4300.0;-2096.0;-12788.0;-1856.0;5978.0;447.0;825
9;Jefferson;Orbrix;6676.0;-2748.0;-11496.0;-1904.0;3821.0;541.0;929
10;Jefferson;Orbrix;4804.0;-4160.0;-11752.0;-1872.0;4899.0;1122.0;1032
11;Jefferson;Orbrix;4064.0;-5360.0;-9740.0;-1888.0;2572.0;594.0;1135
12;Jefferson;Orbrix;4172.0;-5408.0;-11120.0;-1904.0;210.0;548.0;1238
13;Jefferson;Orbrix;3080.0;-5568.0;-10776.0;-1888.0;-742.0;407.0;1341
14;Jefferson;Orbrix;-1660.0;-6356.0;-9100.0;-1888.0;-1339.0;-168.0;1445
15;Jefferson;Orbrix;-1172.0;-7060.0;-11660.0;-1904.0;-3693.0;-230.0;1548
16;Jefferson;Orbrix;64.0;-6320.0;-16828.0;-1872.0;-2542.0;-192.0;1652
17;Jefferson;Orbrix;1376.0;-5296.0;-14304.0;-1888.0;712.0;-439.0;1754
18;Jefferson;Orbrix;2240.0;-5308.0;-10860.0;-1872.0;23.0;-549.0;1857
