id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;8780.0;-5184.0;-10180.0;-3024.0;-569.0;446.0;0
1;Ivleen;Orbrix;9856.0;-4616.0;-11136.0;-3024.0;-111.0;620.0;103
2;Ivleen;Orbrix;10020.0;-4996.0;-11360.0;-2992.0;-216.0;153.0;206
3;Ivleen;Orbrix;9092.0;-5200.0;-10148.0;-3024.0;623.0;613.0;309
4;Ivleen;Orbrix;8364.0;-4812.0;-7796.0;-2992.0;-605.0;1549.0;413
5;Ivleen;Orbrix;5780.0;-4984.0;-12332.0;-3024.0;-1809.0;4640.0;516
6;Ivleen;Orbrix;18640.0;-8136.0;-19820.0;-3008.0;3957.0;1044.0;618
7;Ivleen;Orbrix;26356.0;-3144.0;-11952.0;-3040.0;13198.0;324.0;722
8;Ivleen;Orbrix;13132.0;1228.0;5624.0;-2992.0;2627.0;-2655.0;825
9;Ivleen;Orbrix;-7616.0;2944.0;-3924.0;-2992.0;-13651.0;1126.0;929
10;Ivleen;Orbrix;-2460.0;-1384.0;-9504.0;-3024.0;-16967.0;2267.0;1031
11;Ivleen;Orbrix;-984.0;-4060.0;-22600.0;-3008.0;-9108.0;3409.0;1134
12;Ivleen;Orbrix;17124.0;-4116.0;-22452.0;-3040.0;7459.0;-1684.0;1238
13;Ivleen;Orbrix;23544.0;-1204.0;-10304.0;-3024.0;14442.0;-3495.0;1340
14;Ivleen;Orbrix;2012.0;-1692.0;-1852.0;-3008.0;4592.0;582.0;1444
15;Ivleen;Orbrix;2648.0;-4932.0;-9276.0;-2976.0;850.0;1150.0;1547
16;Ivleen;Orbrix;5716.0;-6360.0;-12728.0;-3040.0;-1690.0;860.0;1651
17;Ivleen;Orbrix;7068.0;-6184.0;-13312.0;-3024.0;9.0;861.0;1753
18;Ivleen;Orbrix;6592.0;-6064.0;-8608.0;-3040.0;-645.0;357.0;1856
