id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;6956.0;-6612.0;-11732.0;-2976.0;30.0;340.0;0
1;Ivleen;Orbrix;6552.0;-6600.0;-10940.0;-3008.0;78.0;9.0;104
2;Ivleen;Orbrix;6684.0;-6504.0;-11004.0;-3008.0;-84.0;40.0;206
3;Ivleen;Orbrix;5604.0;-6628.0;-11128.0;-2976.0;196.0;118.0;309
4;Ivleen;Orbrix;7060.0;-6960.0;-11348.0;-3008.0;-504.0;23.0;413
5;Ivleen;Orbrix;15160.0;-12940.0;-17020.0;-2976.0;2672.0;-880.0;515
6;Ivleen;Orbrix;11080.0;-6584.0;-8312.0;-3008.0;11967.0;2302.0;619
7;Ivleen;Orbrix;7032.0;-2540.0;-668.0;-2992.0;2139.0;634.0;722
8;Ivleen;Orbrix;-516.0;704.0;-244.0;-3024.0;-9420.0;730.0;826
9;Ivleen;Orbrix;-8796.0;-80.0;-10980.0;-2992.0;-15304.0;1723.0;928
10;Ivleen;Orbrix;-5412.0;32.0;-13036.0;-3008.0;-11612.0;6186.0;1031
11;Ivleen;Orbrix;2248.0;-976.0;-20792.0;-3008.0;-7512.0;5036.0;1135
12;Ivleen;Orbrix;7600.0;-1208.0;-22644.0;-2992.0;503.0;360.0;1237
13;Ivleen;Orbrix;8792.0;-3692.0;-17704.0;-3024.0;4387.0;-2410.0;1341
14;Ivleen;Orbrix;9860.0;-2900.0;-13628.0;-2976.0;9021.0;-2399.0;1444
15;Ivleen;Orbrix;8276.0;-1396.0;-9172.0;-2992.0;9046.0;-2016.0;1547
16;Ivleen;Orbrix;1240.0;-2536.0;-6952.0;-2992.0;2983.0;-1081.0;1650
17;Ivleen;Orbrix;2468.0;-4688.0;-10108.0;-2976.0;-296.0;382.0;1753
18;Ivleen;Orbrix;3108.0;-5052.0;-12304.0;-3008.0;911.0;1420.0;1857
19;Ivleen;Orbrix;5296.0;-5868.0;-10152.0;-2976.0;1230.0;1660.0;1959
20;Ivleen;Orbrix;4524.0;-5816.0;-12876.0;-3008.0;913.0;1720.0;2063
