id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Fred;Orbrix;-8856.0;-9312.0;21588.0;-2992.0;-6525.0;7750.0;0
1;Fred;Orbrix;2132.0;-4264.0;19988.0;-2992.0;-13960.0;12966.0;103
2;Fred;Orbrix;6584.0;-2288.0;7684.0;-2976.0;-16676.0;4562.0;207
3;Fred;Orbrix;-448.0;-3052.0;-6100.0;-2976.0;-13294.0;1572.0;309
4;Fred;Orbrix;-18204.0;-9304.0;-9108.0;-2992.0;-2435.0;-1897.0;412
5;Fred;Orbrix;-13188.0;-5072.0;-4780.0;-2992.0;8759.0;-2875.0;516
6;Fred;Orbrix;-22584.0;-5812.0;96.0;-2976.0;15075.0;1111.0;619
7;Fred;Orbrix;-24084.0;-4376.0;13604.0;-3024.0;17799.0;-221.0;722
8;Fred;Orbrix;-21172.0;-4784.0;26224.0;-3008.0;4885.0;-2465.0;825
9;Fred;Orbrix;-12516.0;-4120.0;12784.0;-2992.0;-5663.0;3799.0;928
10;Fred;Orbrix;5164.0;-6524.0;-3012.0;-3008.0;-2279.0;2377.0;1032
11;Fred;Orbrix;-13820.0;-8164.0;6464.0;-3040.0;2047.0;-2297.0;1134
12;Fred;Orbrix;-10836.0;-9200.0;4876.0;-3024.0;2473.0;-3356.0;1238
13;Fred;Orbrix;-11624.0;-8592.0;6872.0;-2976.0;1144.0;-1970.0;1341
14;Fred;Orbrix;-13244.0;-8788.0;5400.0;-3008.0;-338.0;2535.0;1445
15;Fred;Orbrix;-12000.0;-8268.0;7548.0;-2992.0;1064.0;-2765.0;1547
16;Fred;Orbrix;-12612.0;-8344.0;5816.0;-3008.0;-86.0;-689.0;1650
