id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;476.0;-7500.0;-10168.0;-2992.0;-470.0;-181.0;0
1;Ivleen;Orbrix;3148.0;-7436.0;-12316.0;-2992.0;-575.0;1276.0;104
2;Ivleen;Orbrix;2204.0;-7212.0;-11952.0;-2992.0;-818.0;-319.0;207
3;Ivleen;Orbrix;1020.0;-7392.0;-11964.0;-2976.0;-558.0;73.0;310
4;Ivleen;Orbrix;1716.0;-7108.0;-10984.0;-3008.0;-428.0;-457.0;413
5;Ivleen;Orbrix;1864.0;-6632.0;-9332.0;-2976.0;-1480.0;452.0;516
6;Ivleen;Orbrix;804.0;-9024.0;-14996.0;-3008.0;-2874.0;-668.0;619
7;Ivleen;Orbrix;8196.0;-12128.0;-23072.0;-2976.0;2149.0;2204.0;722
8;Ivleen;Orbrix;13304.0;-6324.0;-15720.0;-2960.0;12333.0;3815.0;826
9;Ivleen;Orbrix;8464.0;256.0;704.0;-2976.0;9183.0;-903.0;929
10;Ivleen;Orbrix;-1192.0;1308.0;1688.0;-2976.0;-5401.0;3027.0;1032
11;Ivleen;Orbrix;-8948.0;-468.0;-6192.0;-3008.0;-12805.0;8447.0;1135
12;Ivleen;Orbrix;-8668.0;-492.0;-13236.0;-2992.0;-13180.0;13896.0;1238
13;Ivleen;Orbrix;-10836.0;28.0;-18668.0;-2976.0;-12358.0;10262.0;1341
14;Ivleen;Orbrix;-4012.0;-840.0;-20780.0;-3008.0;-2519.0;5991.0;1444
15;Ivleen;Orbrix;12716.0;-1404.0;-20200.0;-3024.0;4755.0;1379.0;1548
16;Ivleen;Orbrix;15304.0;-2004.0;-18264.0;-3040.0;6499.0;5.0;1651
17;Ivleen;Orbrix;11844.0;-472.0;-17584.0;-3008.0;10671.0;2187.0;1753
18;Ivleen;Orbrix;11148.0;-180.0;-11688.0;-3024.0;11760.0;1279.0;1857
19;Ivleen;Orbrix;2088.0;-4344.0;-7236.0;-3008.0;5889.0;593.0;1960
20;Ivleen;Orbrix;-52.0;-5740.0;-7624.0;-3008.0;4714.0;2506.0;2064
21;Ivleen;Orbrix;-4800.0;-8428.0;-5976.0;-3008.0;418.0;-170.0;2166
22;Ivleen;Orbrix;100.0;-9436.0;-10312.0;-2992.0;-68.0;-866.0;2270
23;Ivleen;Orbrix;-480.0;-9952.0;-12664.0;-3008.0;62.0;-1147.0;2373
24;Ivleen;Orbrix;1212.0;-9732.0;-11560.0;-3008.0;-913.0;-2434.0;2475
25;Ivleen;Orbrix;1912.0;-9296.0;-10052.0;-3024.0;-847.0;-1814.0;2579
26;Ivleen;Orbrix;312.0;-9196.0;-9672.0;-2992.0;-1219.0;-1046.0;2682
27;Ivleen;Orbrix;-288.0;-9036.0;-10816.0;-2976.0;-1176.0;-610.0;2785
