id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;1756.0;-5372.0;-11608.0;-3008.0;238.0;-452.0;0
1;Ivleen;Orbrix;2808.0;-5248.0;-12344.0;-3008.0;346.0;-1062.0;103
2;Ivleen;Orbrix;1204.0;-5456.0;-13644.0;-3024.0;492.0;-226.0;206
3;Ivleen;Orbrix;1248.0;-5632.0;-12756.0;-2992.0;1335.0;2147.0;309
4;Ivleen;Orbrix;5040.0;-6392.0;-9820.0;-3024.0;1970.0;3354.0;412
5;Ivleen;Orbrix;1816.0;-4272.0;-6336.0;-3008.0;-1186.0;4107.0;515
6;Ivleen;Orbrix;-3912.0;-4092.0;-13936.0;-3040.0;-5201.0;4228.0;619
7;Ivleen;Orbrix;6552.0;-3136.0;-19076.0;-3008.0;-48.0;-2074.0;722
8;Ivleen;Orbrix;15676.0;-3324.0;-14368.0;-2992.0;2422.0;-2505.0;824
9;Ivleen;Orbrix;27484.0;-708.0;-12840.0;-3040.0;10037.0;-4250.0;928
10;Ivleen;Orbrix;20656.0;148.0;-7592.0;-3008.0;11568.0;3311.0;1031
11;Ivleen;Orbrix;15392.0;1812.0;-1868.0;-3008.0;9545.0;3675.0;1134
12;Ivleen;Orbrix;1932.0;-704.0;4312.0;-3008.0;-5318.0;5465.0;1237
13;Ivleen;Orbrix;2408.0;-2624.0;-5596.0;-3008.0;-9852.0;2555.0;1341
14;Ivleen;Orbrix;2020.0;-4792.0;-7996.0;-3008.0;-15595.0;1862.0;1444
15;Ivleen;Orbrix;-2160.0;-3028.0;-18752.0;-2992.0;-14386.0;3364.0;1546
16;Ivleen;Orbrix;6156.0;-2848.0;-26604.0;-2992.0;-4910.0;9207.0;1650
17;Ivleen;Orbrix;13120.0;-3204.0;-21596.0;-3008.0;7637.0;5658.0;1753
18;Ivleen;Orbrix;18356.0;-3460.0;-6980.0;-3008.0;11004.0;-876.0;1857
19;Ivleen;Orbrix;19052.0;-3240.0;-3264.0;-3024.0;8718.0;-1882.0;1959
20;Ivleen;Orbrix;9096.0;-4176.0;-5140.0;-3024.0;1950.0;2473.0;2062
21;Ivleen;Orbrix;9992.0;-5540.0;-5876.0;-2992.0;7.0;2722.0;2166
22;Ivleen;Orbrix;14252.0;-4952.0;-10100.0;-3024.0;573.0;703.0;2268
23;Ivleen;Orbrix;11736.0;-5180.0;-11284.0;-2976.0;-1484.0;88.0;2372
24;Ivleen;Orbrix;11184.0;-5288.0;-10264.0;-3008.0;-446.0;-67.0;2475
