id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;10968.0;-11540.0;-21844.0;-2992.0;4554.0;-698.0;0
1;Ivleen;Orbrix;7848.0;-6612.0;-6968.0;-3008.0;6333.0;-1086.0;104
2;Ivleen;Orbrix;3696.0;-3660.0;-2672.0;-2992.0;4254.0;-468.0;207
3;Ivleen;Orbrix;112.0;-3228.0;-3684.0;-2992.0;-3091.0;-2812.0;311
4;Ivleen;Orbrix;-1980.0;-4804.0;-7636.0;-2992.0;-7649.0;-775.0;413
5;Ivleen;Orbrix;-7980.0;-5016.0;-12004.0;-2976.0;-7319.0;1207.0;516
6;Ivleen;Orbrix;-2596.0;-3936.0;-13368.0;-2944.0;-6335.0;1135.0;620
7;Ivleen;Orbrix;-1712.0;-2160.0;-10164.0;-2992.0;-9907.0;4284.0;722
8;Ivleen;Orbrix;-3904.0;-1256.0;-17584.0;-3008.0;-10081.0;4232.0;826
9;Ivleen;Orbrix;2060.0;-436.0;-18368.0;-3008.0;-1266.0;2266.0;929
10;Ivleen;Orbrix;6948.0;-784.0;-19288.0;-3024.0;5309.0;469.0;1032
11;Ivleen;Orbrix;9192.0;-56.0;-18536.0;-3008.0;8404.0;775.0;1135
12;Ivleen;Orbrix;2208.0;64.0;-9844.0;-2976.0;7664.0;1366.0;1238
13;Ivleen;Orbrix;-796.0;-1588.0;-8468.0;-2976.0;3884.0;1462.0;1342
14;Ivleen;Orbrix;1216.0;-3900.0;-10240.0;-3008.0;378.0;1613.0;1444
15;Ivleen;Orbrix;732.0;-4640.0;-13388.0;-3008.0;594.0;447.0;1548
16;Ivleen;Orbrix;2132.0;-4648.0;-14156.0;-3008.0;-223.0;405.0;1651
17;Ivleen;Orbrix;3244.0;-4280.0;-13456.0;-3008.0;-574.0;393.0;1753
18;Ivleen;Orbrix;2548.0;-4116.0;-13584.0;-2976.0;346.0;687.0;1857
