id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;Orbrix;104.0;-8312.0;-11660.0;-2976.0;402.0;910.0;0
1;Ivleen;Orbrix;-148.0;-9080.0;-9320.0;-3024.0;-2408.0;2327.0;104
2;Ivleen;Orbrix;5808.0;-11768.0;-18364.0;-2976.0;644.0;864.0;207
3;Ivleen;Orbrix;8788.0;-9156.0;-14656.0;-3008.0;7117.0;2544.0;310
4;Ivleen;Orbrix;7464.0;-4052.0;-3316.0;-3008.0;3426.0;1091.0;413
5;Ivleen;Orbrix;2276.0;-44.0;-2016.0;-3008.0;-3939.0;-3838.0;516
6;Ivleen;Orbrix;-6512.0;1192.0;-6832.0;-3008.0;-11061.0;1632.0;620
7;Ivleen;Orbrix;-11504.0;328.0;-12600.0;-2992.0;-10028.0;3357.0;722
8;Ivleen;Orbrix;-11128.0;1608.0;-15864.0;-3008.0;-12996.0;5751.0;825
9;Ivleen;Orbrix;-8524.0;-420.0;-27608.0;-2992.0;-5063.0;5062.0;929
10;Ivleen;Orbrix;-124.0;-2296.0;-16752.0;-2992.0;349.0;921.0;1032
11;Ivleen;Orbrix;9484.0;-3680.0;-17548.0;-2992.0;6691.0;1265.0;1135
12;Ivleen;Orbrix;13992.0;-1320.0;-18024.0;-2976.0;10462.0;4993.0;1238
13;Ivleen;Orbrix;10908.0;0.0;-15920.0;-2992.0;11848.0;4486.0;1342
14;Ivleen;Orbrix;5960.0;-432.0;-10948.0;-3008.0;8663.0;1826.0;1445
15;Ivleen;Orbrix;-5348.0;-3552.0;-6516.0;-2992.0;3474.0;1600.0;1547
16;Ivleen;Orbrix;-4308.0;-5952.0;-7128.0;-3008.0;1447.0;-824.0;1651
17;Ivleen;Orbrix;-4492.0;-8284.0;-10848.0;-3008.0;-541.0;-1842.0;1754
18;Ivleen;Orbrix;-6224.0;-9496.0;-11928.0;-3008.0;453.0;-1340.0;1857
19;Ivleen;Orbrix;-4584.0;-9220.0;-10896.0;-3040.0;738.0;-638.0;1960
20;Ivleen;Orbrix;-1004.0;-8732.0;-10396.0;-2992.0;1186.0;570.0;2063
21;Ivleen;Orbrix;-928.0;-8960.0;-10676.0;-2992.0;-196.0;461.0;2167
22;Ivleen;Orbrix;-872.0;-8828.0;-10332.0;-3008.0;-327.0;566.0;2269
23;Ivleen;Orbrix;184.0;-9032.0;-8392.0;-3008.0;322.0;683.0;2373
24;Ivleen;Orbrix;-1612.0;-8792.0;-11808.0;-3040.0;76.0;289.0;2476
