id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;;;-1976.0;-516.0;-15008.0;-2464.0;-507.0;1669.0;0
1;;;-1016.0;-448.0;-13096.0;-2432.0;-1356.0;1610.0;102
2;;;-200.0;-188.0;-12492.0;-2432.0;-1737.0;1019.0;206
3;;;-844.0;-652.0;-13924.0;-2432.0;-1474.0;609.0;309
4;;;-1380.0;-1184.0;-19072.0;-2432.0;154.0;164.0;412
5;;;-2308.0;-716.0;-28340.0;-2464.0;6615.0;4151.0;515
6;;;-3040.0;-624.0;-14868.0;-2448.0;12328.0;6878.0;619
7;;;1856.0;-1228.0;-11440.0;-2448.0;12259.0;8204.0;722
8;;;5132.0;-3292.0;2672.0;-2448.0;264.0;-928.0;824
9;;;4460.0;-5360.0;1736.0;-2448.0;37.0;85.0;928
10;;;13828.0;-3324.0;-11600.0;-2432.0;-4727.0;-1761.0;1031
11;;;17836.0;-1084.0;-18648.0;-2416.0;-980.0;1364.0;1134
12;;;9132.0;-2844.0;-12312.0;-2448.0;-2832.0;3741.0;1237
13;;;-5628.0;-6216.0;-8508.0;-2416.0;-1419.0;1963.0;1340
14;;;-804.0;-6816.0;-10244.0;-2448.0;-342.0;-242.0;1444
15;;;4760.0;-4424.0;-7360.0;-2448.0;-1545.0;-260.0;1546
16;;;688.0;-1868.0;-204.0;-2448.0;-7041.0;-1528.0;1650
17;;;224.0;56.0;-9760.0;-2480.0;-13902.0;-2453.0;1753
18;;;3752.0;-68.0;-26824.0;-2448.0;-11399.0;-3552.0;1856
19;;;976.0;220.0;-30884.0;-2448.0;-1572.0;-526.0;1959
20;;;-3716.0;-624.0;-17468.0;-2416.0;2759.0;2487.0;2062
21;;;-10824.0;-332.0;-9932.0;-2448.0;692.0;3007.0;2165
22;;;-2388.0;1616.0;-13172.0;-2448.0;-334.0;4655.0;2268
23;;;7788.0;4856.0;-10324.0;-2448.0;-236.0;1578.0;2372
24;;;14920.0;3820.0;-17120.0;-2480.0;-1058.0;-228.0;2475
25;;;5052.0;3224.0;-13648.0;-2480.0;506.0;87.0;2577
26;;;-1796.0;792.0;-14172.0;-2448.0;2385.0;-1448.0;2681
27;;;-996.0;248.0;-12296.0;-2448.0;1180.0;-3391.0;2784
28;;;1320.0;24.0;-12340.0;-2448.0;628.0;-2515.0;2887
29;;;3628.0;864.0;-13640.0;-2448.0;1185.0;-3244.0;2990
