id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;threnix;2436.0;-1804.0;-13352.0;-1888.0;-604.0;839.0;0
1;Jefferson;threnix;3400.0;-1576.0;-13364.0;-1872.0;-167.0;803.0;104
2;Jefferson;threnix;4344.0;-1552.0;-14464.0;-1856.0;191.0;527.0;207
3;Jefferson;threnix;6564.0;-2068.0;-20340.0;-1872.0;2493.0;1138.0;311
4;Jefferson;threnix;10416.0;-1980.0;-20952.0;-1904.0;5964.0;2775.0;413
5;Jefferson;threnix;5276.0;-3416.0;-9080.0;-1920.0;9624.0;3736.0;517
6;Jefferson;threnix;-1428.0;-5684.0;-7100.0;-1872.0;4113.0;2417.0;620
7;Jefferson;threnix;48.0;-3472.0;-3688.0;-1888.0;1772.0;1532.0;723
8;Jefferson;threnix;4728.0;-1676.0;2360.0;-1872.0;-6527.0;1260.0;826
9;Jefferson;threnix;5108.0;-96.0;-3160.0;-1888.0;-15459.0;-1610.0;929
10;Jefferson;threnix;776.0;-932.0;-23120.0;-1872.0;-15198.0;-2154.0;1033
11;Jefferson;threnix;-3568.0;-184.0;-25224.0;-1888.0;-9751.0;2067.0;1136
12;Jefferson;threnix;-7736.0;2004.0;-25732.0;-1888.0;2272.0;2938.0;1238
13;Jefferson;threnix;1168.0;2852.0;-13900.0;-1872.0;7796.0;4351.0;1342
14;Jefferson;threnix;7764.0;3620.0;-7176.0;-1888.0;4877.0;4407.0;1445
15;Jefferson;threnix;12456.0;3280.0;-10532.0;-1904.0;3057.0;2446.0;1549
16;Jefferson;threnix;12580.0;1944.0;-11224.0;-1856.0;1218.0;622.0;1652
17;Jefferson;threnix;13736.0;2168.0;-15792.0;-1888.0;1619.0;146.0;1755
18;Jefferson;threnix;10292.0;292.0;-21148.0;-1840.0;6365.0;-264.0;1858
19;Jefferson;threnix;8328.0;-1420.0;-14616.0;-1888.0;6030.0;-51.0;1961
20;Jefferson;threnix;4664.0;-3540.0;-9980.0;-1872.0;6764.0;-259.0;2065
21;Jefferson;threnix;-1660.0;-4524.0;-8116.0;-1856.0;5397.0;-492.0;2167
22;Jefferson;threnix;3764.0;-5344.0;-8552.0;-1840.0;-1321.0;949.0;2271
23;Jefferson;threnix;4116.0;-6076.0;-11444.0;-1888.0;-282.0;-372.0;2374
24;Jefferson;threnix;3736.0;-7180.0;-11220.0;-1872.0;-426.0;-433.0;2478
25;Jefferson;threnix;4712.0;-6516.0;-13592.0;-1888.0;-1763.0;-902.0;2580
26;Jefferson;threnix;3520.0;-6468.0;-12804.0;-1888.0;561.0;-311.0;2683
27;Jefferson;threnix;3580.0;-6500.0;-9524.0;-1904.0;244.0;557.0;2787
28;Jefferson;threnix;4368.0;-6264.0;-14344.0;-1888.0;42.0;711.0;2890
