id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Fred;threnix;6272.0;-4828.0;-10764.0;-3008.0;230.0;14.0;0
1;Fred;threnix;6044.0;-4808.0;-11780.0;-3040.0;-599.0;-731.0;102
2;Fred;threnix;6536.0;-4912.0;-13820.0;-3008.0;-742.0;-110.0;206
3;Fred;threnix;18268.0;-5536.0;-18536.0;-3040.0;-686.0;2487.0;309
4;Fred;threnix;11804.0;-5388.0;-16132.0;-3024.0;4705.0;5508.0;412
5;Fred;threnix;6340.0;-3324.0;-19956.0;-3008.0;9781.0;6654.0;515
6;Fred;threnix;-2676.0;-3280.0;-6572.0;-3056.0;12701.0;4110.0;618
7;Fred;threnix;-4092.0;-8868.0;2140.0;-3072.0;4003.0;-223.0;722
8;Fred;threnix;1740.0;-11812.0;2468.0;-3008.0;-1318.0;-579.0;825
9;Fred;threnix;5024.0;-8404.0;-3024.0;-3024.0;-5081.0;-1383.0;927
10;Fred;threnix;3108.0;-7108.0;-2756.0;-3040.0;-9372.0;-3513.0;1031
11;Fred;threnix;664.0;-5836.0;-19284.0;-3040.0;-14903.0;-4638.0;1134
12;Fred;threnix;8756.0;-5624.0;-27612.0;-3024.0;-7692.0;-556.0;1238
13;Fred;threnix;3048.0;-5472.0;-17148.0;-3040.0;724.0;-690.0;1341
14;Fred;threnix;1496.0;-5488.0;-13408.0;-3024.0;1741.0;159.0;1444
15;Fred;threnix;-5592.0;-3956.0;-12348.0;-3040.0;2682.0;-107.0;1547
16;Fred;threnix;692.0;-4424.0;-12868.0;-3056.0;4351.0;-254.0;1650
17;Fred;threnix;10304.0;-4524.0;-10044.0;-3024.0;3949.0;1201.0;1754
18;Fred;threnix;15000.0;-4536.0;-8488.0;-3072.0;2180.0;27.0;1856
19;Fred;threnix;13772.0;-6400.0;-6816.0;-3088.0;709.0;319.0;1960
20;Fred;threnix;7184.0;-5648.0;-12612.0;-3040.0;-794.0;629.0;2063
21;Fred;threnix;7672.0;-5900.0;-10092.0;-3056.0;-484.0;896.0;2166
22;Fred;threnix;5924.0;-5880.0;-12228.0;-3040.0;-308.0;-83.0;2269
23;Fred;threnix;6976.0;-5800.0;-11352.0;-3040.0;538.0;173.0;2372
