id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;threnix;148.0;-3532.0;-13296.0;-3008.0;182.0;-233.0;0
1;Ivleen;threnix;48.0;-3596.0;-13840.0;-2992.0;177.0;-453.0;102
2;Ivleen;threnix;408.0;-3736.0;-13412.0;-3008.0;-87.0;119.0;205
3;Ivleen;threnix;3964.0;-8768.0;-24084.0;-2976.0;29.0;-3074.0;309
4;Ivleen;threnix;4192.0;-5976.0;-19900.0;-2960.0;18151.0;-4800.0;411
5;Ivleen;threnix;1720.0;-1260.0;-11132.0;-3008.0;18826.0;-3757.0;515
6;Ivleen;threnix;-232.0;-2796.0;4656.0;-2976.0;29.0;458.0;618
7;Ivleen;threnix;-20.0;-4764.0;-1784.0;-3008.0;-7151.0;3966.0;722
8;Ivleen;threnix;1420.0;-6520.0;-6172.0;-3024.0;-9858.0;4006.0;825
9;Ivleen;threnix;-7260.0;-3264.0;-13836.0;-3008.0;-14020.0;10357.0;927
10;Ivleen;threnix;-14976.0;-3428.0;-25780.0;-2976.0;-5267.0;259.0;1031
11;Ivleen;threnix;-5128.0;-1464.0;-10080.0;-2976.0;-2565.0;-2300.0;1134
12;Ivleen;threnix;5808.0;-2188.0;-11812.0;-2976.0;1798.0;-1484.0;1238
13;Ivleen;threnix;6656.0;-4348.0;-11784.0;-3024.0;180.0;-170.0;1341
14;Ivleen;threnix;4316.0;-3720.0;-11264.0;-2976.0;1580.0;242.0;1444
15;Ivleen;threnix;2048.0;-3420.0;-13776.0;-2960.0;762.0;703.0;1547
16;Ivleen;threnix;2420.0;-3736.0;-15492.0;-2976.0;630.0;759.0;1650
