id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;threnix;1828.0;-7144.0;-12416.0;-2992.0;2.0;-369.0;0
1;Ivleen;threnix;1688.0;-7304.0;-11400.0;-2992.0;417.0;249.0;103
2;Ivleen;threnix;2572.0;-7324.0;-11608.0;-2976.0;458.0;12.0;205
3;Ivleen;threnix;980.0;-7360.0;-11596.0;-3008.0;-283.0;-579.0;309
4;Ivleen;threnix;2160.0;-8588.0;-11212.0;-2976.0;-1422.0;967.0;412
5;Ivleen;threnix;3904.0;-6736.0;-12792.0;-2992.0;-1414.0;1418.0;516
6;Ivleen;threnix;428.0;-5564.0;-10492.0;-3008.0;-167.0;642.0;618
7;Ivleen;threnix;400.0;-6884.0;-13260.0;-2976.0;-1031.0;278.0;721
8;Ivleen;threnix;4016.0;-7452.0;-10132.0;-3008.0;-367.0;348.0;825
9;Ivleen;threnix;2704.0;-6104.0;-11932.0;-2976.0;-953.0;-1554.0;927
10;Ivleen;threnix;2396.0;-6468.0;-11012.0;-2960.0;-39.0;-1059.0;1031
11;Ivleen;threnix;-2636.0;-6576.0;-12560.0;-2992.0;3.0;-141.0;1134
12;Ivleen;threnix;-2184.0;-5856.0;-14388.0;-3024.0;1162.0;477.0;1237
13;Ivleen;threnix;-208.0;-6324.0;-11732.0;-2976.0;426.0;-79.0;1340
14;Ivleen;threnix;1192.0;-7128.0;-12312.0;-3008.0;851.0;188.0;1443
15;Ivleen;threnix;3664.0;-8120.0;-14244.0;-2976.0;2253.0;-167.0;1546
16;Ivleen;threnix;4480.0;-8044.0;-15268.0;-3024.0;3480.0;-1489.0;1649
17;Ivleen;threnix;-120.0;-7732.0;-11980.0;-2992.0;5411.0;-584.0;1753
18;Ivleen;threnix;-308.0;-8120.0;-11096.0;-3008.0;5155.0;-210.0;1856
19;Ivleen;threnix;-108.0;-8248.0;-7716.0;-2976.0;5261.0;-385.0;1958
20;Ivleen;threnix;1016.0;-7580.0;-5916.0;-3008.0;-579.0;-224.0;2062
21;Ivleen;threnix;856.0;-8276.0;-8556.0;-3008.0;-2874.0;1131.0;2165
22;Ivleen;threnix;380.0;-7760.0;-11528.0;-2944.0;-2131.0;902.0;2268
23;Ivleen;threnix;4800.0;-8100.0;-8596.0;-2992.0;-5644.0;2681.0;2371
24;Ivleen;threnix;1480.0;-7688.0;-10632.0;-2976.0;-4882.0;3506.0;2475
25;Ivleen;threnix;-3900.0;-5992.0;-13856.0;-3008.0;-5823.0;4192.0;2578
26;Ivleen;threnix;-4712.0;-5348.0;-17188.0;-3024.0;-1984.0;1274.0;2680
27;Ivleen;threnix;-4848.0;-4100.0;-14144.0;-2976.0;-940.0;-62.0;2784
28;Ivleen;threnix;-2040.0;-3952.0;-14120.0;-2976.0;14.0;-1155.0;2887
29;Ivleen;threnix;-2316.0;-4336.0;-14084.0;-2976.0;-956.0;-2215.0;2990
30;Ivleen;threnix;1224.0;-4804.0;-13752.0;-2976.0;-404.0;-1254.0;3093
31;Ivleen;threnix;4612.0;-4548.0;-12856.0;-3008.0;770.0;-1964.0;3196
32;Ivleen;threnix;5876.0;-4932.0;-13608.0;-2992.0;505.0;131.0;3300
33;Ivleen;threnix;4516.0;-5392.0;-13324.0;-2992.0;1065.0;834.0;3402
34;Ivleen;threnix;1224.0;-5544.0;-11456.0;-2960.0;833.0;716.0;3506
35;Ivleen;threnix;484.0;-4828.0;-11752.0;-2992.0;-738.0;132.0;3609
36;Ivleen;threnix;252.0;-5016.0;-12708.0;-2992.0;803.0;-497.0;3712
37;Ivleen;threnix;96.0;-5656.0;-13792.0;-3008.0;460.0;131.0;3815
38;Ivleen;threnix;-1956.0;-5160.0;-12544.0;-2944.0;587.0;-373.0;3918
39;Ivleen;threnix;-1868.0;-5716.0;-13072.0;-3008.0;180.0;-979.0;4021
40;Ivleen;threnix;236.0;-5432.0;-12044.0;-2960.0;652.0;-826.0;4124
41;Ivleen;threnix;-204.0;-5680.0;-11440.0;-2992.0;604.0;-352.0;4228
