id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Fred;threnix;9688.0;-5768.0;-10728.0;-3040.0;-159.0;-600.0;0
1;Fred;threnix;8596.0;-5800.0;-10552.0;-3024.0;234.0;-422.0;103
2;Fred;threnix;8072.0;-5740.0;-10164.0;-3040.0;228.0;-99.0;206
3;Fred;threnix;9112.0;-5584.0;-11292.0;-3056.0;211.0;279.0;309
4;Fred;threnix;8932.0;-5612.0;-10528.0;-3024.0;-203.0;-117.0;412
5;Fred;threnix;8352.0;-5584.0;-10072.0;-3024.0;-349.0;171.0;516
6;Fred;threnix;9856.0;-5728.0;-11288.0;-3024.0;-128.0;-144.0;619
7;Fred;threnix;9364.0;-5376.0;-11668.0;-3040.0;65.0;142.0;722
8;Fred;threnix;9136.0;-5384.0;-10612.0;-3056.0;45.0;27.0;825
9;Fred;threnix;8460.0;-5504.0;-10188.0;-3024.0;-28.0;28.0;928
10;Fred;threnix;8448.0;-5216.0;-10492.0;-3040.0;4.0;66.0;1031
11;Fred;threnix;8268.0;-5612.0;-9240.0;-3072.0;-207.0;53.0;1134
12;Fred;threnix;9932.0;-5244.0;-11688.0;-3040.0;127.0;510.0;1238
13;Fred;threnix;11984.0;-6052.0;-11668.0;-3024.0;-387.0;851.0;1341
14;Fred;threnix;12512.0;-6352.0;-13560.0;-3056.0;1423.0;2979.0;1443
15;Fred;threnix;29988.0;-5024.0;-26144.0;-3024.0;2843.0;7192.0;1547
16;Fred;threnix;-2408.0;676.0;-7224.0;-3008.0;14480.0;7405.0;1650
17;Fred;threnix;-7920.0;-6232.0;11660.0;-3040.0;7014.0;3118.0;1754
18;Fred;threnix;1292.0;-9400.0;9904.0;-3056.0;-1782.0;-1306.0;1857
19;Fred;threnix;304.0;-7656.0;5864.0;-3040.0;-15550.0;-4489.0;1960
20;Fred;threnix;1928.0;-1124.0;-25108.0;-3024.0;-24784.0;-6413.0;2063
21;Fred;threnix;12756.0;-4008.0;-32768.0;-3008.0;-1010.0;1501.0;2166
22;Fred;threnix;-5564.0;-5916.0;-12848.0;-3040.0;6862.0;1343.0;2270
23;Fred;threnix;-2204.0;-2052.0;-11388.0;-3056.0;9929.0;-3025.0;2372
24;Fred;threnix;24104.0;-1224.0;4640.0;-3040.0;2920.0;-2707.0;2476
25;Fred;threnix;20784.0;-6936.0;-12512.0;-3024.0;1224.0;-2276.0;2579
26;Fred;threnix;6612.0;-5844.0;-9140.0;-3040.0;-1384.0;-485.0;2683
27;Fred;threnix;8296.0;-5500.0;-10668.0;-3056.0;-457.0;1013.0;2786
28;Fred;threnix;9156.0;-6136.0;-10528.0;-3040.0;-1185.0;-442.0;2888
29;Fred;threnix;9396.0;-5560.0;-11968.0;-3056.0;-64.0;-227.0;2992
