id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;threnix;1320.0;-3748.0;-12460.0;-2992.0;836.0;644.0;0
1;Ivleen;threnix;1024.0;-3676.0;-12788.0;-2944.0;573.0;370.0;103
2;Ivleen;threnix;1036.0;-5612.0;-15808.0;-3008.0;-158.0;-391.0;206
3;Ivleen;threnix;1560.0;-10444.0;-27960.0;-2976.0;5920.0;-2863.0;310
4;Ivleen;threnix;-1880.0;-3320.0;-14672.0;-2992.0;18218.0;-6135.0;413
5;Ivleen;threnix;-1548.0;-2288.0;-992.0;-3008.0;6986.0;-4929.0;516
6;Ivleen;threnix;3012.0;-2520.0;4524.0;-2976.0;-6064.0;3059.0;619
7;Ivleen;threnix;1000.0;-4044.0;-7576.0;-2992.0;-11640.0;7786.0;722
8;Ivleen;threnix;348.0;-4464.0;-12860.0;-2976.0;-7495.0;7238.0;826
9;Ivleen;threnix;-7468.0;-2348.0;-19500.0;-2992.0;-7558.0;3730.0;929
10;Ivleen;threnix;-10048.0;-1160.0;-18448.0;-3008.0;-1424.0;1339.0;1031
11;Ivleen;threnix;-2480.0;-1264.0;-16264.0;-2976.0;217.0;-842.0;1135
12;Ivleen;threnix;10368.0;-4780.0;-14076.0;-2960.0;906.0;-1280.0;1238
13;Ivleen;threnix;2972.0;-4252.0;-13672.0;-3008.0;-402.0;1006.0;1342
14;Ivleen;threnix;116.0;-3204.0;-16824.0;-2992.0;571.0;-850.0;1445
15;Ivleen;threnix;-1104.0;-3256.0;-14928.0;-2976.0;114.0;135.0;1548
16;Ivleen;threnix;1548.0;-3160.0;-11160.0;-3008.0;-567.0;587.0;1651
17;Ivleen;threnix;1888.0;-3020.0;-12276.0;-2960.0;708.0;322.0;1754
18;Ivleen;threnix;556.0;-3248.0;-10756.0;-2976.0;-218.0;-346.0;1858
19;Ivleen;threnix;-180.0;-2852.0;-12832.0;-2992.0;-368.0;-325.0;1960
20;Ivleen;threnix;564.0;-2888.0;-13932.0;-3008.0;147.0;65.0;2064
