id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;threnix;-576.0;-5304.0;-12880.0;-3008.0;5109.0;-1099.0;0
1;Ivleen;threnix;-3580.0;-6240.0;-9412.0;-2992.0;5867.0;-1541.0;104
2;Ivleen;threnix;-6988.0;-6420.0;-11452.0;-2992.0;6393.0;-1276.0;207
3;Ivleen;threnix;-4400.0;-7076.0;-9344.0;-2976.0;3336.0;-773.0;310
4;Ivleen;threnix;-1032.0;-7660.0;-9100.0;-2976.0;708.0;256.0;413
5;Ivleen;threnix;632.0;-7064.0;-9184.0;-3008.0;-1628.0;850.0;517
6;Ivleen;threnix;140.0;-7356.0;-10324.0;-3008.0;-3237.0;1338.0;619
7;Ivleen;threnix;-1192.0;-6236.0;-7532.0;-2992.0;-5106.0;2231.0;722
8;Ivleen;threnix;-4704.0;-5168.0;-12184.0;-3008.0;-5567.0;3182.0;826
9;Ivleen;threnix;-4240.0;-4776.0;-17452.0;-2992.0;-1936.0;1983.0;929
10;Ivleen;threnix;-4760.0;-4436.0;-14076.0;-2976.0;-1117.0;963.0;1032
11;Ivleen;threnix;-4648.0;-4084.0;-13956.0;-2960.0;-1027.0;1114.0;1135
12;Ivleen;threnix;-4012.0;-3976.0;-13468.0;-3008.0;-860.0;117.0;1238
13;Ivleen;threnix;-140.0;-3612.0;-11560.0;-2976.0;-152.0;55.0;1342
14;Ivleen;threnix;-1832.0;-3528.0;-12388.0;-3008.0;-308.0;683.0;1444
15;Ivleen;threnix;-3064.0;-3628.0;-12836.0;-3024.0;438.0;306.0;1548
16;Ivleen;threnix;-3656.0;-3032.0;-14164.0;-3024.0;-491.0;-50.0;1651
17;Ivleen;threnix;-6224.0;-2508.0;-14308.0;-3024.0;-558.0;-516.0;1754
18;Ivleen;threnix;-4468.0;-3120.0;-13228.0;-2960.0;-1604.0;-401.0;1857
19;Ivleen;threnix;-2152.0;-2808.0;-13180.0;-2976.0;-874.0;-791.0;1960
20;Ivleen;threnix;-1908.0;-3052.0;-11780.0;-3008.0;-1395.0;-522.0;2063
21;Ivleen;threnix;-3188.0;-2800.0;-13248.0;-2992.0;-430.0;-807.0;2166
22;Ivleen;threnix;-740.0;-3508.0;-13488.0;-3008.0;-1339.0;-914.0;2270
23;Ivleen;threnix;-2636.0;-3440.0;-14644.0;-3008.0;455.0;-281.0;2373
24;Ivleen;threnix;-1456.0;-3104.0;-15240.0;-2992.0;459.0;-707.0;2475
25;Ivleen;threnix;-3632.0;-2872.0;-13324.0;-3008.0;457.0;-705.0;2579
26;Ivleen;threnix;-3372.0;-2964.0;-13436.0;-2976.0;-248.0;-435.0;2682
27;Ivleen;threnix;-1104.0;-3564.0;-12332.0;-2992.0;-156.0;-1206.0;2785
28;Ivleen;threnix;-1492.0;-2916.0;-12496.0;-2976.0;39.0;-715.0;2888
29;Ivleen;threnix;-588.0;-3016.0;-13392.0;-3008.0;161.0;-38.0;2992
30;Ivleen;threnix;-832.0;-3120.0;-11336.0;-2992.0;155.0;353.0;3095
31;Ivleen;threnix;-1536.0;-2896.0;-14864.0;-2960.0;508.0;154.0;3197
