id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
25;Ivleen;threnix;-124.0;-2456.0;-13016.0;-2976.0;-202.0;-846.0;2579
1;Ivleen;threnix;-1700.0;-668.0;2476.0;-3008.0;3043.0;-961.0;3197
2;Ivleen;threnix;16.0;-2564.0;388.0;-2992.0;-4228.0;4376.0;3300
3;Ivleen;threnix;4764.0;-3444.0;-11324.0;-3008.0;-7475.0;5726.0;3404
4;Ivleen;threnix;-12460.0;-4172.0;-22836.0;-3024.0;-10769.0;7728.0;3506
5;Ivleen;threnix;-2960.0;-3752.0;-23788.0;-3008.0;105.0;1087.0;3610
6;Ivleen;threnix;-2864.0;-812.0;-12328.0;-2992.0;299.0;-136.0;3713
7;Ivleen;threnix;-9596.0;20.0;-12736.0;-2960.0;-1179.0;-729.0;3817
8;Ivleen;threnix;9532.0;-3160.0;-16732.0;-3008.0;-1016.0;-1367.0;3919
9;Ivleen;threnix;11956.0;-3692.0;-16540.0;-2992.0;-940.0;-390.0;4022
10;Ivleen;threnix;1528.0;-2720.0;-14512.0;-2992.0;-207.0;-1062.0;4126
11;Ivleen;threnix;2620.0;-2372.0;-14144.0;-2976.0;-128.0;-1396.0;4228
12;Ivleen;threnix;2340.0;-2688.0;-11160.0;-3008.0;-255.0;-487.0;4332
13;Ivleen;threnix;2092.0;-2772.0;-12988.0;-2992.0;-314.0;-40.0;4435
14;Ivleen;threnix;1740.0;-2712.0;-13120.0;-2960.0;56.0;505.0;4538
15;Ivleen;threnix;556.0;-2300.0;-13932.0;-2992.0;-278.0;346.0;4641
