id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;threnix;1796.0;524.0;-13924.0;-1888.0;-119.0;-362.0;0
1;Jefferson;threnix;1472.0;616.0;-13452.0;-1888.0;-174.0;-39.0;103
2;Jefferson;threnix;3280.0;1068.0;-16420.0;-1872.0;-1087.0;865.0;206
3;Jefferson;threnix;8656.0;2820.0;-32768.0;-1888.0;10770.0;7173.0;310
4;Jefferson;threnix;8640.0;68.0;-15012.0;-1904.0;20018.0;6033.0;412
5;Jefferson;threnix;-5632.0;-4040.0;-7784.0;-1872.0;17285.0;3829.0;515
6;Jefferson;threnix;40.0;-4648.0;8972.0;-1888.0;6038.0;1902.0;619
7;Jefferson;threnix;5996.0;-2816.0;1028.0;-1888.0;-6098.0;-172.0;722
8;Jefferson;threnix;992.0;724.0;-1876.0;-1872.0;-18266.0;-349.0;825
9;Jefferson;threnix;2820.0;5164.0;-12564.0;-1872.0;-27355.0;-1064.0;928
10;Jefferson;threnix;668.0;3436.0;-29404.0;-1888.0;-15026.0;-1968.0;1032
11;Jefferson;threnix;-7612.0;1364.0;-27056.0;-1872.0;-2019.0;-2926.0;1134
12;Jefferson;threnix;-9080.0;1668.0;-19144.0;-1888.0;1082.0;3088.0;1237
13;Jefferson;threnix;-6368.0;3708.0;-11816.0;-1904.0;5869.0;3840.0;1341
14;Jefferson;threnix;3912.0;4868.0;-7544.0;-1888.0;2466.0;2725.0;1444
15;Jefferson;threnix;12676.0;4972.0;-11884.0;-1904.0;-60.0;-528.0;1547
16;Jefferson;threnix;9064.0;3176.0;-12676.0;-1888.0;-74.0;594.0;1650
17;Jefferson;threnix;1500.0;1864.0;-14204.0;-1856.0;709.0;804.0;1753
