id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;threnix;1400.0;-4732.0;-13120.0;-1920.0;51.0;425.0;0
1;Jefferson;threnix;1764.0;-4972.0;-13004.0;-1904.0;364.0;728.0;103
2;Jefferson;threnix;2324.0;-4692.0;-13560.0;-1856.0;104.0;2518.0;207
3;Jefferson;threnix;5352.0;-3364.0;-10648.0;-1888.0;-739.0;3172.0;309
4;Jefferson;threnix;4780.0;-880.0;-7328.0;-1872.0;-1275.0;-514.0;412
5;Jefferson;threnix;3992.0;1760.0;-9832.0;-1888.0;-9974.0;-3828.0;516
6;Jefferson;threnix;-2604.0;1036.0;-7804.0;-1888.0;-14602.0;-2962.0;619
7;Jefferson;threnix;-580.0;1812.0;-22024.0;-1872.0;-7796.0;-2942.0;722
8;Jefferson;threnix;-4972.0;1560.0;-24412.0;-1840.0;-2852.0;-488.0;825
9;Jefferson;threnix;-10300.0;2096.0;-21452.0;-1888.0;5652.0;2336.0;928
10;Jefferson;threnix;-8760.0;2340.0;-4952.0;-1888.0;4703.0;3444.0;1032
11;Jefferson;threnix;2004.0;3312.0;-8952.0;-1872.0;-1522.0;3341.0;1135
12;Jefferson;threnix;11276.0;4600.0;-13488.0;-1888.0;-782.0;3558.0;1238
13;Jefferson;threnix;13076.0;4404.0;-19276.0;-1888.0;500.0;1456.0;1341
14;Jefferson;threnix;11428.0;2488.0;-23008.0;-1840.0;4263.0;-202.0;1445
15;Jefferson;threnix;2864.0;1696.0;-14896.0;-1856.0;11039.0;-460.0;1548
16;Jefferson;threnix;-4852.0;-324.0;-8424.0;-1856.0;8353.0;-1963.0;1650
17;Jefferson;threnix;-4656.0;-1688.0;-4056.0;-1840.0;3056.0;1095.0;1754
18;Jefferson;threnix;1192.0;-2472.0;-13148.0;-1856.0;-794.0;375.0;1857
19;Jefferson;threnix;944.0;-3928.0;-10816.0;-1872.0;-701.0;-126.0;1961
20;Jefferson;threnix;1500.0;-3248.0;-15224.0;-1856.0;-1037.0;163.0;2063
21;Jefferson;threnix;3364.0;-3584.0;-15212.0;-1904.0;489.0;-35.0;2166
