id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Fred;threnix;-1640.0;-6096.0;-12884.0;-3040.0;-837.0;1142.0;0
1;Fred;threnix;-640.0;-5780.0;-10312.0;-3008.0;-2646.0;3880.0;103
2;Fred;threnix;444.0;-5188.0;-14984.0;-2992.0;-1588.0;1014.0;207
3;Fred;threnix;-3100.0;-4752.0;-12196.0;-3008.0;-1655.0;1134.0;309
4;Fred;threnix;-944.0;-4564.0;-12612.0;-3024.0;-873.0;1295.0;413
5;Fred;threnix;1304.0;-5024.0;-13708.0;-3008.0;-1434.0;-228.0;516
6;Fred;threnix;1888.0;-4972.0;-20056.0;-3024.0;-2860.0;1170.0;620
7;Fred;threnix;5008.0;-3688.0;-31264.0;-3008.0;5362.0;8146.0;722
8;Fred;threnix;620.0;-2616.0;-16012.0;-3024.0;15151.0;8811.0;825
9;Fred;threnix;-1824.0;-3592.0;-2344.0;-3024.0;14721.0;6271.0;929
10;Fred;threnix;236.0;-6912.0;1948.0;-3040.0;894.0;2644.0;1032
11;Fred;threnix;6880.0;-8404.0;-2228.0;-3040.0;-2432.0;-1442.0;1136
12;Fred;threnix;3248.0;-5848.0;4728.0;-3008.0;-9627.0;-2986.0;1238
13;Fred;threnix;-368.0;-6648.0;-18824.0;-3024.0;-12137.0;-5045.0;1341
14;Fred;threnix;-4532.0;-8000.0;-30508.0;-3040.0;-5596.0;-4021.0;1445
15;Fred;threnix;-4252.0;-5644.0;-14200.0;-3056.0;2930.0;725.0;1548
16;Fred;threnix;-9936.0;-7064.0;-9128.0;-3040.0;2519.0;3896.0;1651
17;Fred;threnix;-3148.0;-5480.0;-14992.0;-3040.0;-1703.0;-91.0;1754
18;Fred;threnix;4908.0;156.0;-12972.0;-3056.0;-1254.0;-2362.0;1858
19;Fred;threnix;19636.0;-3924.0;-14092.0;-3040.0;1221.0;1799.0;1961
20;Fred;threnix;-2572.0;-4532.0;-13404.0;-3024.0;-1159.0;-42.0;2064
21;Fred;threnix;544.0;-6148.0;-11680.0;-3040.0;410.0;1105.0;2167
22;Fred;threnix;4860.0;-5648.0;-12660.0;-3072.0;-1468.0;-845.0;2270
23;Fred;threnix;1744.0;-4668.0;-13036.0;-3008.0;-947.0;-809.0;2374
