id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
20;Jefferson;threnix;3172.0;1968.0;-15176.0;-1888.0;723.0;-818.0;2062
1;Jefferson;threnix;92.0;-2688.0;-13480.0;-1872.0;17.0;-5.0;505396
2;Jefferson;threnix;468.0;-2644.0;-13752.0;-1872.0;302.0;-380.0;505499
3;Jefferson;threnix;244.0;-2536.0;-14000.0;-1856.0;-276.0;-259.0;505603
4;Jefferson;threnix;424.0;-2460.0;-13868.0;-1904.0;358.0;205.0;505705
5;Jefferson;threnix;-176.0;-2568.0;-12288.0;-1888.0;-26.0;374.0;505809
6;Jefferson;threnix;1300.0;-2596.0;-11780.0;-1872.0;-1695.0;715.0;505912
7;Jefferson;threnix;-84.0;-1452.0;-16244.0;-1856.0;-2248.0;3040.0;506015
8;Jefferson;threnix;7936.0;-68.0;-21208.0;-1872.0;1600.0;976.0;506118
9;Jefferson;threnix;1952.0;-92.0;-29872.0;-1888.0;19849.0;4987.0;506221
10;Jefferson;threnix;-652.0;-2944.0;-3896.0;-1904.0;21140.0;2814.0;506325
11;Jefferson;threnix;-3528.0;-3076.0;5392.0;-1888.0;29737.0;10785.0;506428
12;Jefferson;threnix;-6324.0;-6236.0;8120.0;-1856.0;-8271.0;526.0;506531
13;Jefferson;threnix;6356.0;292.0;-8924.0;-1872.0;-25505.0;-1946.0;506634
14;Jefferson;threnix;3080.0;-4212.0;-16836.0;-1856.0;-18317.0;-543.0;506737
15;Jefferson;threnix;1836.0;-4468.0;-25280.0;-1856.0;-12474.0;-2354.0;506841
16;Jefferson;threnix;-10040.0;-4292.0;-23332.0;-1872.0;-870.0;1585.0;506943
17;Jefferson;threnix;-19884.0;-3144.0;-9712.0;-1920.0;2725.0;3334.0;507047
18;Jefferson;threnix;-2136.0;-44.0;-10508.0;-1888.0;-32.0;4715.0;507150
19;Jefferson;threnix;12792.0;3560.0;-10920.0;-1872.0;-1094.0;890.0;507253
20;Jefferson;threnix;16220.0;2404.0;-13708.0;-1856.0;671.0;816.0;507357
21;Jefferson;threnix;5832.0;-468.0;-16540.0;-1872.0;106.0;934.0;507459
22;Jefferson;threnix;1376.0;-1880.0;-13312.0;-1888.0;808.0;-328.0;507563
23;Jefferson;threnix;3168.0;-1608.0;-12372.0;-1872.0;723.0;-1789.0;507666
24;Jefferson;threnix;3496.0;-1536.0;-12584.0;-1856.0;-326.0;-960.0;507770
25;Jefferson;threnix;3372.0;-1380.0;-13564.0;-1904.0;-54.0;-270.0;507872
