id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Fred;threnix;-664.0;3556.0;-8208.0;-3040.0;16410.0;3722.0;0
1;Fred;threnix;-12252.0;-9684.0;13504.0;-3056.0;3837.0;-337.0;102
2;Fred;threnix;-7680.0;-7524.0;16976.0;-3040.0;-14583.0;-200.0;206
3;Fred;threnix;5852.0;-1984.0;-9716.0;-3024.0;-20713.0;49.0;309
4;Fred;threnix;18740.0;-5788.0;-31600.0;-3040.0;-11932.0;-115.0;413
5;Fred;threnix;9796.0;-4344.0;-22464.0;-3056.0;2561.0;3141.0;515
6;Fred;threnix;-7744.0;-3692.0;-11432.0;-3040.0;4761.0;-1086.0;618
7;Fred;threnix;-2672.0;-356.0;-6436.0;-3040.0;10747.0;-1462.0;722
8;Fred;threnix;22092.0;-3968.0;2084.0;-3024.0;4910.0;-3798.0;825
9;Fred;threnix;23572.0;-6904.0;-7136.0;-3008.0;467.0;-6334.0;929
10;Fred;threnix;9340.0;-5056.0;-11112.0;-3056.0;-1100.0;-95.0;1031
11;Fred;threnix;9760.0;-5008.0;-7684.0;-3024.0;291.0;-617.0;1134
12;Fred;threnix;9332.0;-6020.0;-9684.0;-3040.0;-192.0;-137.0;1238
13;Fred;threnix;10344.0;-5132.0;-9432.0;-3056.0;-262.0;-129.0;1341
14;Fred;threnix;8768.0;-5440.0;-8928.0;-3040.0;203.0;-267.0;1444
