id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;Quadrix;-1052.0;676.0;-13816.0;-1776.0;-435.0;133.0;0
1;Jefferson;Quadrix;-2476.0;752.0;-16988.0;-1760.0;6.0;275.0;104
2;Jefferson;Quadrix;-1904.0;1196.0;-27300.0;-1792.0;6825.0;3665.0;206
3;Jefferson;Quadrix;-1928.0;-792.0;-15468.0;-1744.0;13167.0;3385.0;309
4;Jefferson;Quadrix;588.0;-2272.0;-4176.0;-1792.0;10933.0;3110.0;413
5;Jefferson;Quadrix;4528.0;-2780.0;-2144.0;-1776.0;1990.0;2260.0;515
6;Jefferson;Quadrix;14392.0;-3052.0;-15076.0;-1792.0;-2940.0;4641.0;619
7;Jefferson;Quadrix;7332.0;-4500.0;-15364.0;-1760.0;4329.0;-471.0;722
8;Jefferson;Quadrix;-7116.0;-6360.0;-11040.0;-1792.0;1576.0;306.0;825
9;Jefferson;Quadrix;-9132.0;-4852.0;-2604.0;-1776.0;-318.0;3063.0;928
10;Jefferson;Quadrix;-460.0;-940.0;-4884.0;-1776.0;-5752.0;1045.0;1031
11;Jefferson;Quadrix;-4356.0;-2880.0;-7956.0;-1776.0;-11487.0;-1978.0;1135
12;Jefferson;Quadrix;-5960.0;44.0;-22528.0;-1808.0;-16275.0;-1062.0;1237
13;Jefferson;Quadrix;-8368.0;52.0;-24096.0;-1760.0;-1846.0;-334.0;1341
14;Jefferson;Quadrix;-13076.0;784.0;-16024.0;-1776.0;2351.0;1553.0;1444
15;Jefferson;Quadrix;-428.0;2064.0;-10032.0;-1792.0;892.0;1736.0;1547
16;Jefferson;Quadrix;6004.0;2512.0;-14448.0;-1760.0;741.0;-237.0;1650
17;Jefferson;Quadrix;7608.0;3172.0;-15856.0;-1776.0;1113.0;-3790.0;1753
18;Jefferson;Quadrix;3044.0;1220.0;-12544.0;-1792.0;-298.0;-1696.0;1857
19;Jefferson;Quadrix;536.0;84.0;-14704.0;-1776.0;-1073.0;-204.0;1959
20;Jefferson;Quadrix;-4260.0;-380.0;-14044.0;-1744.0;693.0;-370.0;2063
21;Jefferson;Quadrix;-3252.0;-664.0;-11456.0;-1792.0;-285.0;-703.0;2166
