id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;Quadrix;-5972.0;-1360.0;-10344.0;-1792.0;-1190.0;186.0;0
1;Jefferson;Quadrix;-7720.0;-1484.0;-12908.0;-1776.0;-2273.0;1131.0;103
2;Jefferson;Quadrix;-10448.0;-644.0;-27536.0;-1776.0;4366.0;3618.0;207
3;Jefferson;Quadrix;-7424.0;-896.0;-16944.0;-1792.0;13431.0;3324.0;309
4;Jefferson;Quadrix;-1544.0;-2628.0;340.0;-1760.0;10035.0;1583.0;413
5;Jefferson;Quadrix;3280.0;-4004.0;-6124.0;-1792.0;-374.0;-479.0;516
6;Jefferson;Quadrix;7212.0;-4640.0;-25884.0;-1760.0;4395.0;692.0;619
7;Jefferson;Quadrix;-10172.0;-4996.0;-7848.0;-1776.0;10301.0;1005.0;722
8;Jefferson;Quadrix;-4372.0;-6104.0;5452.0;-1792.0;2897.0;1334.0;825
9;Jefferson;Quadrix;-2356.0;-1752.0;-220.0;-1776.0;-7894.0;831.0;929
10;Jefferson;Quadrix;-5892.0;-120.0;-8608.0;-1792.0;-18286.0;-3083.0;1031
11;Jefferson;Quadrix;-16292.0;404.0;-22660.0;-1808.0;-9531.0;-4179.0;1135
12;Jefferson;Quadrix;-22960.0;232.0;-17596.0;-1792.0;-996.0;40.0;1238
13;Jefferson;Quadrix;-15556.0;3168.0;-1912.0;-1808.0;-1979.0;3835.0;1341
14;Jefferson;Quadrix;1496.0;2256.0;-11600.0;-1792.0;-4565.0;5321.0;1444
15;Jefferson;Quadrix;2128.0;2672.0;-14540.0;-1808.0;-2739.0;1713.0;1547
16;Jefferson;Quadrix;260.0;1176.0;-13412.0;-1776.0;603.0;603.0;1651
17;Jefferson;Quadrix;-3008.0;-368.0;-15504.0;-1776.0;-17.0;277.0;1753
18;Jefferson;Quadrix;-7120.0;4.0;-12260.0;-1760.0;1208.0;-260.0;1856
19;Jefferson;Quadrix;-6272.0;-168.0;-12668.0;-1760.0;-263.0;410.0;1960
20;Jefferson;Quadrix;-4584.0;-340.0;-11812.0;-1776.0;-93.0;-220.0;2062
