id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;Quadrix;-2484.0;460.0;-13680.0;-1744.0;-32.0;102.0;0
1;Jefferson;Quadrix;-1940.0;456.0;-12900.0;-1760.0;-344.0;256.0;104
2;Jefferson;Quadrix;-2648.0;308.0;-15516.0;-1776.0;-753.0;868.0;207
3;Jefferson;Quadrix;-1388.0;1080.0;-27824.0;-1808.0;4952.0;4444.0;309
4;Jefferson;Quadrix;-3172.0;240.0;-19296.0;-1792.0;13212.0;6322.0;413
5;Jefferson;Quadrix;2968.0;-1932.0;-3384.0;-1792.0;13377.0;4005.0;516
6;Jefferson;Quadrix;4856.0;-3148.0;-256.0;-1776.0;1949.0;2564.0;620
7;Jefferson;Quadrix;11456.0;-1536.0;-14784.0;-1792.0;-4715.0;-910.0;722
8;Jefferson;Quadrix;2920.0;-3404.0;-14724.0;-1808.0;7372.0;-1921.0;825
9;Jefferson;Quadrix;-3996.0;-6440.0;-7784.0;-1760.0;921.0;245.0;929
10;Jefferson;Quadrix;-10204.0;-6556.0;-1872.0;-1792.0;2145.0;265.0;1031
11;Jefferson;Quadrix;-2984.0;-3440.0;-8436.0;-1776.0;-4142.0;-1617.0;1135
12;Jefferson;Quadrix;-912.0;-1664.0;-4804.0;-1792.0;-10576.0;-3343.0;1238
13;Jefferson;Quadrix;-6444.0;-1148.0;-17304.0;-1776.0;-13972.0;-5396.0;1342
14;Jefferson;Quadrix;-11444.0;-96.0;-25480.0;-1760.0;-9506.0;-2653.0;1444
15;Jefferson;Quadrix;-19852.0;1536.0;-23328.0;-1792.0;1369.0;1755.0;1547
16;Jefferson;Quadrix;-7612.0;1404.0;-7620.0;-1776.0;531.0;4155.0;1651
17;Jefferson;Quadrix;1076.0;3156.0;-6764.0;-1808.0;935.0;1567.0;1754
18;Jefferson;Quadrix;7368.0;3028.0;-13900.0;-1792.0;-1959.0;-119.0;1857
19;Jefferson;Quadrix;3372.0;1408.0;-16508.0;-1776.0;-1043.0;-1174.0;1960
20;Jefferson;Quadrix;-3432.0;908.0;-13444.0;-1824.0;-623.0;161.0;2063
21;Jefferson;Quadrix;-3080.0;-456.0;-11824.0;-1776.0;165.0;373.0;2166
22;Jefferson;Quadrix;-3632.0;-164.0;-12724.0;-1808.0;-702.0;-547.0;2269
23;Jefferson;Quadrix;-3420.0;460.0;-13140.0;-1792.0;-1563.0;-485.0;2373
